"date","pm25"
2025-09-01,27.1
2025-09-02,24.9
2025-09-03,26.2
2025-09-04,25.5
2025-09-05,27.6
2025-09-06,23.6
2025-09-07,22.1
2025-09-08,23.8
2025-09-09,22.9
2025-09-10,39.5
2025-09-11,27.1
2025-09-12,29.6
2025-09-13,31.3
2025-09-14,31.9
2025-09-15,24.1
2025-09-16,27.9
2025-09-17,23.8
2025-09-18,27.8
2025-09-19,28.1
2025-09-20,26.6
2025-09-21,29.2
2025-09-22,31.6
2025-09-23,26.4
2025-09-24,35.1
2025-09-25,36.1
2025-09-26,37.6
2025-09-27,36.9
2025-09-28,36.8
2025-09-29,33.3
2025-09-30,42.4
2025-10-01,52.1
2025-10-02,51.2
2025-10-03,46.6
2025-10-04,41.5
2025-10-05,39.5
2025-10-06,32.6
2025-10-07,28.8
2025-10-08,33.1
2025-10-09,43
2025-10-10,40.8
2025-10-11,48.1
2025-10-12,40.6
2025-10-13,45
2025-10-14,55.7
2025-10-15,48.9
2025-10-16,49.3
2025-10-17,51.6
2025-10-18,57.5
2025-10-19,57
2025-10-20,110
2025-10-21,133
2025-10-22,126
2025-10-23,100
2025-10-24,94.2
2025-10-25,87.6
2025-10-26,91.1
2025-10-27,85.3
2025-10-28,68.5
2025-10-29,73.6
2025-10-30,73.3
2025-10-31,72.8
2025-11-01,84.9
2025-11-02,84.3
2025-11-03,91.6
2025-11-04,81.7
2025-11-05,73.2
2025-11-06,80.3
2025-11-07,72.4
2025-11-08,85
2025-11-09,86.2
2025-11-10,82.3
2025-11-11,82.4
2025-11-12,71.7
2025-11-13,82.2
2025-11-14,79.7
2025-11-15,71.8
2025-11-16,76.8
2025-11-17,76.6
2025-11-18,80.6
2025-11-19,79.4
2025-11-20,55.4
2025-11-21,57.1
2025-11-22,68.1
2025-11-23,72.5
2025-11-24,82.7
2025-11-25,67.2
2025-11-26,70.6
2025-11-27,64.6
2025-11-28,64.4
2025-11-29,58.1
